#UVI/KLIB ir standard photometry
# 1  2   3    4    5      6       7    8
#uvi km  type pl    V-J   V-H   V-K  V-L  
99  1 'M4III' 30   4.07  4.96  5.24  5.43 
100 3 'M5III' 30   4.68  5.60  5.90  6.14 
101 3 'M6III' 30   5.52  6.45  6.80  7.11 
102 3 'M7III' 30   6.91  7.86  8.27  8.70
103 1 'M8III' 30   8.84  9.81 10.32 10.93  
104 9 'M9III' 30  11.04 12.03 12.64 13.43 
105 9 'M10III' 30 13.65 14.65 15.31 16.28
#uvi km  type  pl    V-J   V-H   V-K   V-L 
106  0 'B2II'  42  -0.36 -0.40 -0.40 -0.47 
107  0 'B5II'  42  -0.14 -0.13 -0.13 -0.11 
108  0 'F0II'  42   0.45  0.60  0.64  0.70 
109  0 'F2II'  42   0.52  0.70  0.75  0.81 
110  0 'G5II'  42   1.30  1.70  1.80  1.88 
111 10 'K01II' 42   1.70  2.08  2.20  2.30 
112 10 'K34II' 42   2.33  3.01  3.13  3.3  
113  1 'M3II'  42   3.74  4.36  4.60  4.93 
#uvi km  type  pl    V-J   V-H   V-K   V-L 
114  0 'B0I'  41   -0.55 -0.59 -0.69 -0.76 
115  5 'B1I'  41   -0.45 -0.49 -0.55 -0.62 
116  0 'B3I'  41   -0.28 -0.31 -0.28 -0.33 
117  0 'B5I'  41   -0.14 -0.13 -0.13 -0.11 
118  1 'B8I'  41   -0.02  0.09  0.07  0.12 
119  0 'A0I'  41    0.12  0.21  0.19  0.26 
120  0 'A2I'  41    0.21  0.33  0.32  0.40 
121  1 'F0I'  41    0.45  0.60  0.64  0.70 
122  1 'F5I'  41    0.67  0.87  0.93  1.00 
123  0 'F8I'  41    0.86  1.14  1.21  1.28 
124  2 'G0I'  41    1.03  1.36  1.44  1.52 
125  5 'G2I'  41    1.15  1.50  1.60  1.68 
126  0 'G5I'  41    1.30  1.70  1.80  1.88 
127  3 'G8I'  41    1.45  1.88  1.99  2.08 
128  1 'K2I'  41    1.81  2.30  2.43  2.55 
129  1 'K3I'  41    2.14  2.79  2.90  3.05 
130  7 'K4I'  41    2.70  3.36  3.50  3.68 
131  7 'M2I'  41    3.27  3.88  4.10  4.41 
